AÇI;PWM
74.63064517445375;950
76.87627939083205;950
76.99166562249412;950
77.00166300151297;950
76.92853592834278;950
77.02592589746689;950
77.064443310012;950
77.07372901173488;950
76.8998722630448;950
77.0118918276378;975
76.86414874676275;975
76.75014025814654;975
76.99674291640079;975
76.89883473206922;975
76.99033038791507;975
77.04817307803064;975
77.03945471221414;975
76.9419813639216;975
77.05783434818092;975
77.09131767268589;1000
77.04363214864586;1000
76.99319724832212;1000
76.98038370447523;1000
76.92471471675644;1000
77.02101976999445;1000
76.98730441419522;1000
76.92674061978899;1000
77.05971280246818;1000
77.00077800124102;1000
76.69280781888496;1025
72.21475634258789;1025
72.27676099021802;1025
71.40847915762532;1025
71.38479558096597;1025
71.47455038077163;1025
71.48887403110427;1025
71.22824094682535;1025
69.58154698390936;1025
71.14037577720775;1025
72.11494484869525;1050
65.6438686630608;1050
64.58329167818975;1050
64.55617048464495;1050
62.726012488908076;1050
65.0047756661742;1050
63.056102964553915;1050
64.43831652258551;1050
64.00613278626138;1050
64.86128821542749;1050
62.751794653901804;1075
61.56973380213609;1075
63.94053170830394;1075
62.453041358020734;1075
63.528119755164134;1075
62.920798523425134;1075
62.17856638484425;1075
62.98735248813089;1075
63.036845083890064;1075
62.699409116441494;1075
63.30028286141073;1100
64.73249025333384;1100
64.25564328676559;1100
65.02612965599182;1100
64.89588474183446;1100
65.01678387741143;1100
64.28456440162894;1100
62.70360096937246;1100
62.87611342512128;1100
63.646925687137696;1100
65.63672188861322;1125
64.87134328419376;1125
65.69015400687961;1125
63.482955552905366;1125
64.26446365744874;1125
62.46880076236321;1125
64.19581899771669;1125
65.65019595529321;1125
62.97432740460725;1125
66.59791720441493;1125
65.08479413499306;1150
53.742598507485795;1150
54.66165313021559;1150
57.01871823109106;1150
53.79999827279421;1150
53.617828945551565;1150
53.962646008576364;1150
53.2400622022966;1150
49.770330844363926;1150
55.085329462406946;1150
52.22991476693401;1175
53.34051461495874;1175
52.34852711235453;1175
52.58416180589598;1175
52.33720519663556;1175
52.17747155051194;1175
52.52024379020022;1175
53.351348439927634;1175
53.47237938152786;1175
51.0399717889287;1175
49.45981471218168;1200
44.47104320462065;1200
39.10832817871516;1200
40.05349969165563;1200
43.60006991909865;1200
43.298469671426574;1200
42.45457618593546;1200
41.087678643172666;1200
38.86898437820921;1200
38.463416351482635;1200
36.90699475420571;1225
32.642567738007315;1225
32.286411535490956;1225
31.95843100411119;1225
31.269725672460343;1225
31.712213238770982;1225
32.065169114654324;1225
33.89698821173871;1225
32.68474934051871;1225
34.088647250542834;1225
29.309196553442145;1250
25.8393723228126;1250
26.13697947208984;1250
23.56980823139324;1250
25.881475828841523;1250
26.944934886620988;1250
27.607924215089284;1250
26.914417743170354;1250
27.359398453975373;1250
29.04782843671318;1250
22.950153821489064;1275
21.532450532431472;1275
20.03731193838938;1275
20.23828872734716;1275
18.425542916961046;1275
21.82819518179991;1275
20.810718251776848;1275
20.55838604367823;1275
21.775271328937695;1275
20.914578772878226;1275
20.256323338011224;1300
19.28667478372154;1300
21.034101236278826;1300
21.113046808196337;1300
19.839900801887257;1300
19.609828138006307;1300
19.678533994579023;1300
17.593578395936973;1300
18.630711610541272;1300
19.113412399159326;1300
17.433351670335117;1325
16.539430299471576;1325
17.35492358413895;1325
16.9607963133894;1325
16.849867435390124;1325
17.593508679427053;1325
17.14667764556083;1325
16.24705973237405;1325
17.98019898985831;1325
17.05479868167426;1325
16.18157894443937;1350
15.887792524740755;1350
17.41332913982657;1350
16.890142684592305;1350
19.444080190183783;1350
14.379599664849719;1350
17.59780383099141;1350
16.154772220184423;1350
15.783245306735022;1350
15.74507867765703;1350
15.425932163488683;1375
20.98520937602228;1375
19.73069067372721;1375
19.041641232573646;1375
19.732425486135202;1375
18.83347008352864;1375
19.994876666361478;1375
20.671810036180677;1375
20.242773883854113;1375
19.38809033547462;1375
21.55173572998481;1400
23.296411930082087;1400
21.107801259672424;1400
21.48182400263748;1400
22.417315475413762;1400
23.43114038701357;1400
22.350057605556877;1400
22.142264120001286;1400
21.664845706208244;1400
21.47931441519644;1400
21.292556606582316;1425
24.096731839236185;1425
23.057148114374083;1425
21.34251528699167;1425
23.12410207257;1425
21.743445559899012;1425
21.009218201772597;1425
21.3299949886029;1425
19.90374145308459;1425
18.61555447181889;1425
21.66490788606052;1450
21.53059718160267;1450
23.21308314587618;1450
24.837730599115996;1450
26.03967778189394;1450
25.173152571211943;1450
25.751045031925337;1450
24.160196989169375;1450
25.266048763950234;1450
25.923616283257438;1450
22.563035595240216;1475
23.680074040106504;1475
21.86645329499312;1475
19.40601838239127;1475
20.106191314324704;1475
21.633469084328794;1475
21.658905044174325;1475
21.50946164572288;1475
19.927683387676645;1475
18.53590046513771;1475
16.507142599521124;1500
17.918800550607482;1500
16.155910508606205;1500
17.143520840836636;1500
13.986142523282297;1500
15.817530564074051;1500
15.117773629093962;1500
15.805151969428199;1500
14.383470657668951;1500
14.44833990675534;1500
9.688278704754804;1525
9.996331980776098;1525
11.255553044491649;1525
11.50419954101819;1525
9.414854237888923;1525
10.822068919685437;1525
11.032879154600517;1525
11.621168674663249;1525
11.355744388585833;1525
11.008823767951348;1525
10.50959041340288;1550
9.252298297281559;1550
8.48445202359372;1550
9.406602168524222;1550
8.891423691124086;1550
8.355214693908415;1550
9.153905013080657;1550
8.547680264343976;1550
7.407671061142528;1550
7.984882698189162;1550
3.6477784698737605;1575
4.36923683948071;1575
3.8977353980035856;1575
2.720984797378769;1575
4.16494729115137;1575
3.536575592399439;1575
3.6773766241753276;1575
